age;prog_skill;uni_yrs;OS;progLangs;EngSkill;FavAnimal;MoreMtns;winter;rand1-10;rand0-1;rand0-1_pt2;canteenFood;FavColor;neuralNetwork;vectorMachine;sql;FavSQLServ;APriori;SqRoot;Georgios_middleName;JulianHome;therbforttglag;Planets
23;7;3,5;Windows;Python, Java, ...;68.9999(9);Elephant;No;No;3.14;squareroot(1/69);squareroot(pi/3);Need more Russian salad;green;Kind of ...;No.;Yes;MySQL;No;squareroot(44523673);Bjørn;Sweden;Yes;42
23;9;4;Windows (7/8);java, C#, PHP;61;Zebra;Yes;no;1;pi/4;e/2;expensive;Orange;Sometimes;Nope;Yes;MySQL?;no;eight;Frank;Malmö;right;311
35;9;6;Ubuntu;Java, C++, python;69;Elephant;Yes;No;6;0.0000005;0.314;OK;Blue;Yes;No;Yes;MSQL;no;A number;NO idea;Malmö;None of the above;plenty
26;5;4,5;win 7;Python, Java;61;Asparagus;No;Yes;2;0,3;0,9;worse than CBS and DTU better than KU;Green;no;no;yes;Apache;yes;-;-;Malmø;-;-
24;7;4;Windows;Javascript, C#, Python;67,9;Cake!;O;O;9;0,42;0,425;No;Alpha;1;1;1;Postgres;O;17;-;Ikea;Never!;9
25;9;6;Windows;C#, Java, Python;63;Asparagus;Yes;No;8;0.13371337;0.4242424242;Meh;Yellow;Si;Nope;Mm;Dunno;No;squareroot(44523673);Middlename;Ikea;?;1337
24;8;4,5;Windows;C#, Python;67;Asparagus;More lakes;Not fed up;10;0,345;1,0112013316115;yes;yellow;yes;yes;yes;MySQL;yes;a number;ios yanna;Sweden;evta;8
39;7;8;OSX, Windows;Java, Javascript, Python;60;Zebra;yes;yes;3;1;0;okay;blue;yes;more or less;yes;MySQL;No;I don't know;I don't know;I don't know;No idea;I don't know
25;5;4;Windows & Mac;Java, C#, PHP;60;Elephant;No;No;3;1;1;Good food but higher price for me.;Green;yes;NO;yes;SQLServer 2005;NO;2110.06;No idea;Sweden;NO idea, Don't understand the;9
28;5;3,5;windows;Java, C#, PHP;57;Elephant;yes;yes;5;-;-;no comment;orange;yes;no;yes;mySQL;not exactly;-;don't know;Copenhagen (for now)?;?;8 i think
38;9;4;OS X;JavaScript, Objective C, Python;61;Elephant;Yes;No;2;0,49;0,48;Meh;Blue;Yes;No;Yes;PostgreSQL;No;Don't know;Don't know;Malmø;What?;7
2;8;5;Windows;C#, Java, C++;87,23 pie;Zebra has eaten asparagus and ran away;Not if you're going to steal then from other contries. Please, don't invade anyone.;You call THIS winter? HAHAHAHAHA!;Elephant;Also elephant;Also elephant;It's no more. If I ever catch this zebra...!;Blue. No, wait, green! Aaaah! <falls into the pit of death>;Yupp;Noez;Ah, yiss.;Oracle SQL (over $AmIn for usable license AA);nope;Hey, elephant, why are you running away too?;Yoda;Hobbiton;Ecky-ecky-ecky picking zuu boing!;R.I.P. Pluto [*]
